Compas,Pitch,Roll,AccX,AccY,AccZ,Timer2,temps,Comportement
3092,30,7,-384,4912,12592,27939,8.2437865,D_S_TI
3248,29,7,3072,8848,13296,27964,8.59387400000003,D_S_TH
3256,29,7,3072,8848,13296,27965,8.60787750000003,D_S_TH
3256,29,7,2384,8368,14720,27966,8.62188100000003,D_S_TH
3264,29,7,1808,8768,15248,27967,8.63588450000003,D_S_TH
3281,29,7,1648,9344,14160,27968,8.64988800000003,D_S_TH
3290,29,7,1328,8688,14208,27969,8.66389150000003,D_S_TH
3299,29,7,1392,8528,14816,27970,8.67789500000003,D_S_TH
3309,29,7,1664,9264,14816,27971,8.69189850000004,D_S_TH
3320,29,7,2112,9648,14672,27972,8.70590200000004,D_S_TH
3334,30,7,2624,9904,14208,27973,8.71990549999998,D_S_TH
3348,30,8,2880,10128,14032,27974,8.73390899999998,D_S_TH
3536,35,10,2368,12752,13952,27999,9.08399650000001,D_S_TI
3535,35,10,2224,12736,14704,28000,9.09800000000001,D_S_TI
3535,35,10,2224,12736,14704,28001,9.11200350000001,D_S_TI
3535,35,10,2000,11648,15376,28002,9.12600700000002,D_S_TI
3536,35,9,1552,9856,14224,28003,9.14001050000002,D_S_TI
3537,35,9,1488,7088,13568,28004,9.15401400000002,D_S_TI
3539,35,9,2448,4320,14256,28005,9.16801750000002,D_S_TI
3544,35,9,3280,3392,14736,28006,9.18202100000002,D_S_TI
3551,34,10,4224,4352,15104,28007,9.19602450000002,D_S_TI
3561,34,10,5184,5808,15440,28008,9.21002800000002,D_S_TI
3584,34,11,6240,7600,15696,28009,9.22403150000002,D_S_TI
174,32,13,4528,5776,15504,28034,9.574119,D_S_TI
174,32,13,5008,10288,13792,28035,9.5881225,D_S_TI
182,33,13,6160,15344,13872,28036,9.602126,D_S_TI
193,33,14,7248,14592,16400,28037,9.6161295,D_S_TI
203,33,14,7392,14320,14512,28038,9.630133,D_S_TI
213,33,14,6752,13856,12144,28039,9.6441365,D_S_TI
224,33,15,6384,9536,10528,28040,9.65814,D_S_TI
236,33,15,5840,6224,11088,28041,9.6721435,D_S_TI
256,32,16,4672,4416,13952,28042,9.68614700000001,D_S_TI
262,31,16,3408,5536,17760,28043,9.70015050000001,D_S_TI
264,31,16,2976,8768,19376,28044,9.71415400000001,D_S_TI
14,37,11,544,23744,12864,28069,10.0642415,D_S_TI
14,37,11,544,23744,12864,28070,10.078245,D_S_TI
8,37,11,3680,18512,7280,28071,10.0922485,D_S_TI
5,38,11,5024,11792,5904,28072,10.106252,D_S_TI
4,38,11,4704,4016,9536,28073,10.1202555,D_S_TI
8,36,11,6480,-2352,18112,28074,10.134259,D_S_TI
13,36,12,8800,-896,22416,28075,10.1482625,D_S_TI
16,37,12,10496,25600,11952,28076,10.162266,D_S_TI
17,37,12,9808,21664,13904,28077,10.1762695,D_S_TI
19,37,12,8512,13056,12112,28078,10.190273,D_S_TI
21,37,12,7328,5776,13920,28079,10.2042765,D_S_TI
159,37,14,7744,5456,12384,28104,10.554364,D_S_TI
180,37,15,8176,9936,14896,28105,10.5683675,D_S_TI
180,37,15,8176,9936,14896,28106,10.582371,D_S_TI
209,37,18,9312,15616,13232,28107,10.5963745,D_S_TI
270,36,19,7488,17760,13104,28108,10.610378,D_S_TI
295,36,20,6160,16976,12912,28109,10.6243815,D_S_TI
311,35,20,4672,14848,12608,28110,10.638385,D_S_TI
317,35,20,3168,11456,13280,28111,10.6523885,D_S_TI
317,34,20,2128,8464,12880,28112,10.666392,D_S_TI
312,34,20,1328,4496,12704,28113,10.6803955,D_S_TI
300,35,19,128,2176,15744,28114,10.694399,D_S_TI
